Anio;Mes;Dia;Caterpillar;Ferrari;Volkswagen;Boeing;RollsRoyce
2017;1;1; 94 ; 59.16 ; 148.5 ; 156.3 ; 8.205 
2017;1;2; 94.46 ; 58.84 ; 145.63 ; 157.81 ; 8.06 
2017;1;3; 93.18 ; 59.44 ; 149.65 ; 158.41 ; 7.9 
2017;1;4; 93.45 ; 58.97 ; 150.1 ; 158.98 ; 78.671 
2017;1;5; 92.93 ; 57.77 ; 153.06 ; 159 ; 7.99 
2017;1;6; 92.98 ; 58.98 ; 155 ; 158.96 ; 82.245 
2017;1;7; 94.47 ; 59 ; 160.245 ; 159.54 ; 8.17 
2017;1;8; 94.37 ; 60.57 ; 163.93 ; 159.15 ; 8.25 
2017;1;9; 94.07 ; 60.1 ; 161.5 ; 158.74 ; 8.15 
2017;1;10; 94.24 ; 59.66 ; 158 ; 158.2 ; 8.75 
2017;1;11; 92.79 ; 60 ; 156.4 ; 157.55 ; 8.65 
2017;1;12; 93.58 ; 59.86 ; 159.99 ; 158.87 ; 8.53 
2017;1;13; 94.01 ; 60.31 ; 160.13 ; 159.81 ; 8.45 
2017;1;14; 94.6 ; 61.07 ; 164.51 ; 158.94 ; 8.5 
2017;1;15; 95.02 ; 62.46 ; 164.45 ; 158.58 ; 8.45 
2017;1;16; 97.82 ; 62.78 ; 169.25 ; 163.59 ; 8.45 
2017;1;17; 98.45 ; 61.94 ; 165.04 ; 167.25 ; 8.556 
2017;1;18; 97.69 ; 62.03 ; 164.68 ; 169.21 ; 8.517 
2017;1;19; 98.4 ; 60.92 ; 161.47 ; 165.92 ; 8.47 
2017;1;20; 96.59 ; 62.54 ; 160.6 ; 164.96 ; 8.4 
2017;2;1; 95.81 ; 62.5 ; 1.619.125 ; 164.25 ; 8.55 
2017;2;2; 94.77 ; 65.01 ; 158.033 ; 163.22 ; 8.62 
2017;2;3; 94.32 ; 65.49 ; 158.73 ; 162.99 ; 8.415 
2017;2;4; 92.81 ; 64.33 ; 157 ; 162.42 ; 8.391 
2017;2;5; 94.32 ; 64.47 ; 156 ; 165 ; 8.45 
2017;2;6; 93 ; 64.21 ; 154.46 ; 165 ; 9 
2017;2;7; 93.06 ; 64.69 ; 151.75 ; 164.67 ; 9.01 
2017;2;8; 94.87 ; 64.54 ; 157.45 ; 165.25 ; 9.145 
2017;2;9; 97.69 ; 66 ; 156.9 ; 166.45 ; 9.25 
2017;2;10; 98.29 ; 66.36 ; 157.06 ; 167.7 ; 8.83 
2017;2;11; 98.11 ; 65.23 ; 157.85 ; 168.42 ; 8.88 
2017;2;12; 99.05 ; 66.47 ; 155.6 ; 169.64 ; 8.775 
2017;2;13; 98.07 ; 65.44 ; 151.68 ; 170.41 ; 8.5 
2017;2;14; 98.87 ; 65.25 ; 152.45 ; 173.92 ; 9.02 
2017;2;15; 98.04 ; 64.82 ; 151.815 ; 174.98 ; 9.373 
2017;2;16; 98.44 ; 66.43 ; 155.05 ; 175.97 ; 9.47 
2017;2;17; 94.86 ; 65.26 ; 151.7 ; 176.75 ; 9.45 
2017;2;18; 95.48 ; 65.44 ; 153.71 ; 178 ; 9.55 
2017;2;19; 97.24 ; 65.25 ; 153.51 ; 180.34 ; 9.69 
2017;3;1; 98.2 ; 65.6 ; 153.26 ; 181.85 ; 9.608 
2017;3;2; 98.49 ; 65.87 ; 153.31 ; 184 ; 9.62 
2017;3;3; 94.36 ; 66.08 ; 154.1 ; 183.04 ; 9.51 
2017;3;4; 94.32 ; 65.75 ; 153.2 ; 181.4 ; 9.31 
